customer_id,first_name,last_name,email,signup_date,city,state,is_active
1,Danielle,Johnson,,2023-06-22,Johnberg,WA,1
2,Curtis,Yang,curtis.yang2@example.com,2025-04-27,,ND,1
3,Christopher,Henderson,christopher.henderson3@example.com,2023-02-11,North Jefferyhaven,PA,1
4,Anthony,Gonzalez,not-an-email,2024-03-08,Robinsonshire,KY,1
5,Lisa,Smith,lisa.smith5@example.com,2024-06-06,Lake Roberto,KY,1
6,Eric,Bernard,eric.bernard6@example.com,2023-03-09,Curtisfurt,CT,1
7,Michael,Cooper,michael.cooper7@example.com,2024-07-15,,KS,1
8,Lindsay,Blair,lindsay.blair8@example.com,2023-05-04,South Christianport,MP,1
9,Courtney,Mcclure,courtney.mcclure9@example.com,2023-09-10,Barbaraland,AZ,1
10,Donna,Mejia,donna.mejia10@example.com,2023-09-23,Port Jesseville,MS,0
11,Joshua,Reid,joshua.reid11@example.com,2023-12-08,Franciscostad,IL,1
12,Elizabeth,Miles,elizabeth.miles12@example.com,2024-05-05,New Cynthiaside,VA,1
13,John,Ford,john.ford13@example.com,2023-11-27,Veronicaside,IN,1
14,Gabrielle,Cameron,gabrielle.cameron14@example.com,2024-01-19,East Lydiamouth,MO,1
15,Joseph,Clark,joseph.clark15@example.com,2024-07-16,Jasonfort,MO,1
16,Nicole,Day,nicole.day16@example.com,2023-06-20,West Donald,WA,1
17,Anna,Baker,anna.baker17@example.com,2024-12-28,Hurstfurt,,1
18,Michael,Osborn,michael.osborn18@example.com,2025-04-14,New Trevor,WV,1
19,Brandon,Rodriguez,brandon.rodriguez19@example.com,2023-01-06,Port Erin,PA,1
20,Bryan,James,bryan.james20@example.com,2023-06-15,Riceside,VI,1
21,Sherri,Frazier,sherri.frazier21@example.com,2023-09-08,Lake Nicoleview,,1
22,Kayla,Peterson,kayla.peterson22@example.com,2023-01-31,Ryanmouth,AL,1
23,Stephanie,Liu,stephanie.liu23@example.com,2024-01-10,Teresaburgh,NY,1
24,Rita,Harrell,rita.harrell24@example.com,2025-04-07,Meaganhaven,PA,1
25,James,Brooks,james.brooks25@example.com,2024-10-19,New Stephanie,NC,1
26,Samantha,George,samantha.george26@example.com,2024-09-11,Smithstad,FM,1
27,Tricia,Roman,tricia.roman27@example.com ,2023-12-16,North John,,1
28,Ashley,Miller,ashley.miller28@example.com,2023-04-02,Cabreraside,WI,1
29,David,Keller,david.keller29@example.com,2025-01-24,West Allison,PA,1
30,Rodney,Lewis,rodney.lewis30@example.com,2025-01-04,Lake Larry,TN,1
31,Debra,Kim,debra.kim31@example.com,2024-12-26,Martinezbury,CA,1
32,Matthew,Chapman,matthew.chapman32@example.com,2024-06-11,New Jeffrey,CA,1
33,Jean,Brown,jean.brown33@example.com,2023-10-13,North Micheleland,NY,1
34,John,Caldwell,john.caldwell34@example.com,2023-06-02,New David,FM,0
35,Ashley,Kennedy,ashley.kennedy35@example.com,2024-01-03,Aguirreborough,CT,1
36,Collin,Jordan,,2024-08-11,Jenkinston,TX,1
37,Denise,Lucas,denise.lucas37@example.com,2024-03-19,South Jessicaville,IA,1
38,James,Herrera,james.herrera38@example.com,2023-08-29,South Isaiah,NH,1
39,John,Leblanc,john.leblanc39@example.com,2024-05-02,Mortonside,CT,1
40,Brent,Kidd,brent.kidd40@example.com,2025-02-27,North Sarabury,GA,1
41,Richard,Olson,richard.olson41@example.com,2023-07-06,Barreraburgh,MS,1
42,Aaron,Myers,aaron.myers42@example.com,2025-03-23,Mitchellside,TN,1
43,Jennifer,Moore,jennifer.moore43@example.com,2023-07-23,Jeffton,OR,1
44,Jill,Brown,jill.brown44@example.com,2024-12-12,Brianshire,NJ,1
45,Wesley,Farrell,wesley.farrell45@example.com,2023-07-25,North Susan,CO,1
46,Melissa,Jones,melissa.jones46@example.com,2025-04-23,Lake Michellefurt,DE,1
47,Shelly,Hudson,shelly.hudson47@example.com,2024-04-10,New Christophershire,OK,1
48,Alexandra,Donovan,alexandra.donovan48@example.com,2023-08-30,Lake Jennifer,IA,1
49,Joseph,Anderson,joseph.anderson49@example.com,2024-02-15,Stephenland,AL,1
50,Stephen,Murillo,,2024-03-05,North Amandahaven,KS,0
51,David,Bailey,david.bailey51@example.com,2023-09-09,East Mikeburgh,,1
52,Samuel,Daniels,samuel.daniels52@example.com,2023-08-20,Cherylhaven,AL,1
53,Elizabeth,Spencer,elizabeth.spencer53@example.com,2024-04-23,East Josephville,WA,1
54,Angela,Nelson,angela.nelson54@example.com,2024-01-23,Lake Matthew,TX,0
55,Cynthia,Baker,cynthia.baker55@example.com,2023-08-29,Kington,CO,1
56,Cynthia,Calderon,,2024-10-02,North Matthewberg,SC,0
57,Tina,Martin,tina.martin57@example.com,2024-01-21,Arnoldchester,OH,1
58,Alec,Jones,alec.jones58@example.com,2023-12-12,New Barry,MN,1
59,Brandi,Hernandez,,2023-12-13,North Kyle,MH,1
60,Sarah,Stanton,sarah.stanton60@example.com,2024-03-09,West Jasonbury,TN,1
61,Curtis,Deleon,curtis.deleon61@example.com,2023-02-12,Dicksonberg,IA,1
62,Michelle,Cherry,michelle.cherry62@example.com,2023-06-18,South Angel,WA,0
63,Sandra,Patton,sandra.patton63@example.com,2023-06-29,Phambury,KY,1
64,Erik,Haynes,erik.haynes64@example.com,2025-04-16,Brennanfort,IN,1
65,James,Sellers,james.sellers65@example.com,2024-05-27,Kevinbury,IN,1
66,Andrew,Lee,andrew.lee66@example.com,2024-09-26,Joshualand,WI,1
67,Joshua,May,joshua.may67@example.com,2024-08-11,Frazierside,MA,1
68,Sheila,Wilson,sheila.wilson68@example.com,2023-01-01,Gregoryview,AZ,1
69,Daniel,Hamilton,daniel.hamilton69@example.com,2024-11-17,Samuelhaven,DE,1
70,Paul,Ray,paul.ray70@example.com,2023-09-21,Bradleychester,AL,1
71,April,Drake,april.drake71@example.com,2023-12-31,West Ryan,TN,1
72,Samantha,Hanson,samantha.hanson72@example.com,2025-01-08,Lake Rachelhaven,ME,1
73,Elizabeth,Nguyen,elizabeth.nguyen73@example.com,2024-08-19,Angelaborough,,1
74,Robert,Bentley,robert.bentley74@example.com,2023-06-15,New Ashley,MO,1
75,Amy,Smith,amy.smith75@example.com,2024-01-23,Jasonshire,PA,1
76,Diana,Marshall,diana.marshall76@example.com,2024-05-07,Lowehaven,NJ,1
77,Laura,Moyer,laura.moyer77@example.com,2024-11-23,Lake Christopher,NY,1
78,Elizabeth,Harvey,elizabeth.harvey78@example.com,2024-03-06,Port Stephaniebury,TX,1
79,Lance,Drake,lance.drake79@example.com,2024-03-19,North Brandon,NJ,1
80,Cheryl,Mack,cheryl.mack80@example.com,2024-08-18,Perryshire,ID,1
81,Jennifer,Cruz,jennifer.cruz81@example.com,2024-10-07,Sancheztown,MH,0
82,Karen,Carrillo,karen.carrillo82@example.com,2023-01-31,Port Ronaldburgh,,1
83,Linda,Dominguez,linda.dominguez83@example.com,2024-08-28,Williamsbury,PW,1
84,Melinda,Bryant,melinda.bryant84@example.com,2023-12-09,Contrerasside,PA,1
85,Logan,Fischer,logan.fischer85@example.com,2024-09-20,Salazarhaven,NE,1
86,Maria,Kelley,maria.kelley86@example.com,2024-09-04,Lake Michelle,NV,1
87,Jonathon,Wright,jonathon.wright87@example.com,2023-10-10,Katiehaven,NM,1
88,Courtney,Hill,courtney.hill88@example.com,2024-08-11,Lake Justinview,MA,1
